date,direction,entry,exit,points,pnl_gross,pnl_net,outcome,variant,probability,sample_size
2022-06-20 00:00:00-04:00,long,11366.0,11375.0,8.5,170.0,167.5,win,Expanded|None|Above|Above,92.16,51
2022-06-30 00:00:00-04:00,short,11467.6,11437.7,29.399999999999636,587.9999999999927,585.4999999999927,win,Normal|Low|Below|Below,9.41,85
2022-07-06 00:00:00-04:00,short,11732.8,11707.9,24.399999999999636,487.9999999999927,485.4999999999927,win,Normal|Low|Below|Below,9.41,85
2022-07-19 00:00:00-04:00,long,11988.5,12004.1,15.100000000000364,302.0000000000073,299.5000000000073,win,Compressed|Both|Above|Above,85.71,56
2022-07-20 00:00:00-04:00,short,12233.3,12215.9,16.899999999999636,337.9999999999927,335.4999999999927,win,Normal|Low|Below|Below,9.41,85
2022-08-09 00:00:00-04:00,short,13077.3,13070.2,6.599999999998545,131.9999999999709,129.4999999999709,win,Compressed|Low|Below|Below,11.54,52
2022-08-10 00:00:00-04:00,long,13074.0,13088.7,14.200000000000728,284.00000000001455,281.50000000001455,win,Compressed|Both|Above|Above,85.71,56
2022-08-17 00:00:00-04:00,short,13509.3,13494.9,13.899999999999636,277.9999999999927,275.4999999999927,win,Compressed|Low|Below|Below,11.54,52
2022-08-18 00:00:00-04:00,long,13510.5,13512.0,1.0,20.0,17.5,win,Compressed|Both|Above|Above,85.71,56
2022-08-22 00:00:00-04:00,short,13057.0,13031.0,25.5,510.0,507.5,win,Compressed|Low|Below|Below,11.54,52
2022-08-23 00:00:00-04:00,long,12924.8,12948.8,23.5,470.0,467.5,win,Compressed|Both|Above|Above,85.71,56
2022-08-24 00:00:00-04:00,long,12908.7,12916.2,7.0,140.0,137.5,win,Compressed|Both|Above|Above,85.71,56
2022-09-15 00:00:00-04:00,short,12106.2,12084.0,21.700000000000728,434.00000000001455,431.50000000001455,win,Compressed|Low|Below|Below,11.54,52
2022-09-19 00:00:00-04:00,short,11739.7,11779.7,-40.5,-810.0,-812.5,loss,Normal|Low|Below|Below,9.41,85
2022-09-20 00:00:00-04:00,short,11884.2,11876.3,7.400000000001455,148.0000000000291,145.5000000000291,win,Compressed|Low|Below|Below,11.54,52
2022-09-23 00:00:00-04:00,short,11343.7,11311.8,31.400000000001455,628.0000000000291,625.5000000000291,win,Normal|Low|Below|Below,9.41,85
