variant,asia_regime,london_sweep,transition_vs_london,ny_open_vs_london,n,first_high_pct,first_low_pct,sweep_both_pct,fail_pct,median_pen_high,median_pen_low,reliability
Normal|High|Below|Above,Normal,High,Below,Above,8,87.5,12.5,37.5,37.5,14.3,10.2,Low
Normal|High|Below|Within,Normal,High,Below,Within,8,37.5,62.5,50.0,50.0,20.6,3.4,Low
Compressed|Both|Above|Below,Compressed,Both,Above,Below,8,12.5,87.5,50.0,50.0,5.2,50.7,Low
Compressed|Low|Above|Within,Compressed,Low,Above,Within,8,50.0,50.0,50.0,50.0,6.0,11.3,Low
Normal|Both|Above|Within,Normal,Both,Above,Within,8,50.0,50.0,25.0,25.0,13.75,13.03,Low
Expanded|Both|Above|Within,Expanded,Both,Above,Within,8,50.0,50.0,12.5,12.5,21.9,14.05,Low
Normal|Low|Above|Below,Normal,Low,Above,Below,8,25.0,75.0,50.0,50.0,64.35,18.83,Low
Normal|None|Within|Below,Normal,None,Within,Below,8,0.0,100.0,37.5,37.5,,22.82,Low
Expanded|Both|Below|Within,Expanded,Both,Below,Within,8,50.0,50.0,12.5,12.5,2.35,20.1,Low
Compressed|Both|Above|Within,Compressed,Both,Above,Within,8,37.5,62.5,25.0,25.0,18.05,24.25,Low
Normal|None|Above|Within,Normal,None,Above,Within,6,33.33,66.67,50.0,50.0,2.97,1.25,Low
Normal|Both|Within|Above,Normal,Both,Within,Above,6,100.0,0.0,66.67,66.67,5.43,,Low
Normal|Low|Above|Within,Normal,Low,Above,Within,6,83.33,16.67,0.0,0.0,25.95,21.3,Low
Expanded|None|Below|Above,Expanded,None,Below,Above,6,100.0,0.0,83.33,83.33,6.35,,Low
Expanded|Both|Within|Above,Expanded,Both,Within,Above,6,100.0,0.0,66.67,66.67,13.37,,Low
Expanded|Low|Above|Within,Expanded,Low,Above,Within,6,66.67,33.33,33.33,33.33,10.75,30.4,Low
Expanded|None|Below|Within,Expanded,None,Below,Within,5,60.0,40.0,60.0,60.0,19.75,1.82,Low
Normal|None|Above|Above,Normal,None,Above,Above,5,100.0,0.0,80.0,80.0,11.5,,Low
Expanded|None|Above|Within,Expanded,None,Above,Within,5,60.0,40.0,80.0,80.0,15.6,10.92,Low
Expanded|None|Above|Below,Expanded,None,Above,Below,5,0.0,100.0,40.0,40.0,,15.15,Low
Normal|Both|Above|Below,Normal,Both,Above,Below,4,0.0,100.0,25.0,25.0,,58.85,Low
Compressed|Both|Below|Above,Compressed,Both,Below,Above,4,100.0,0.0,50.0,50.0,32.42,,Low
Compressed|High|Below|Above,Compressed,High,Below,Above,4,100.0,0.0,0.0,0.0,35.55,,Low
Normal|None|Within|Within,Normal,None,Within,Within,4,25.0,75.0,25.0,25.0,17.75,1.75,Low
Normal|Both|Below|Above,Normal,Both,Below,Above,3,100.0,0.0,0.0,0.0,24.5,,Low
Expanded|Both|Above|Below,Expanded,Both,Above,Below,3,0.0,100.0,66.67,66.67,,28.35,Low
Compressed|None|Above|Within,Compressed,None,Above,Within,2,0.0,100.0,100.0,100.0,,7.73,Low
Compressed|None|Within|Above,Compressed,None,Within,Above,2,100.0,0.0,100.0,100.0,4.33,,Low
Expanded|Both|Within|Below,Expanded,Both,Within,Below,2,0.0,100.0,0.0,0.0,,6.83,Low
Expanded|Both|Below|Above,Expanded,Both,Below,Above,1,100.0,0.0,0.0,0.0,15.1,,Low
Compressed|None|Within|Below,Compressed,None,Within,Below,1,0.0,100.0,0.0,0.0,,8.5,Low
Normal|None|Below|Below,Normal,None,Below,Below,1,0.0,100.0,100.0,100.0,,1.8,Low
Compressed|None|Below|Below,Compressed,None,Below,Below,1,0.0,100.0,100.0,100.0,,8.7,Low
Compressed|None|Below|Above,Compressed,None,Below,Above,1,100.0,0.0,0.0,0.0,27.6,,Low
Compressed|None|Above|Above,Compressed,None,Above,Above,1,100.0,0.0,0.0,0.0,33.4,,Low
Compressed|None|Within|Within,Compressed,None,Within,Within,1,100.0,0.0,100.0,100.0,7.9,,Low
Normal|None|Below|Within,Normal,None,Below,Within,1,100.0,0.0,100.0,100.0,20.2,,Low
Normal|None|Above|Below,Normal,None,Above,Below,1,0.0,100.0,100.0,100.0,,2.4,Low
