date,asia_open,asia_high,asia_low,asia_close,asia_mid,asia_range,london_open,london_high,london_low,london_close,london_mid,london_range,transition_open,transition_high,transition_low,transition_close,ny_open,ny_high,ny_low,ny_close,asia_range_q33,asia_range_q66,asia_regime,london_sweep,london_mid_tolerance,london_mid_upper,london_mid_lower,transition_vs_london_mid,ny_open_vs_london_mid,variant,first_sweep_side,fail_flag,both_flag,median_penetration
2024-05-13 00:00:00-04:00,18161.5,18193.4,18154.1,18191.8,18173.75,39.30000000000291,18191.9,18215.8,18188.5,18194.5,18202.15,27.299999999999272,18194.3,18237.7,18192.0,18217.8,18217.6,18250.8,18167.8,18209.3,25.8669999999983,39.10200000000099,Expanded,High,6.824999999999818,18208.975000000002,18195.325,Below,Above,Expanded|High|Below|Above,High,1,1,23.5
2024-05-14 00:00:00-04:00,18200.9,18206.8,18180.4,18183.3,18193.6,26.399999999997817,18183.0,18225.3,18181.5,18223.1,18203.4,43.79999999999927,18222.8,18225.6,18197.3,18206.4,18194.9,18287.4,18073.7,18256.2,25.8669999999983,38.934000000000964,Normal,High,10.949999999999818,18214.350000000002,18192.45,Above,Within,Normal|High|Above|Within,Low,1,1,10.0
2024-05-15 00:00:00-04:00,18334.6,18355.6,18317.2,18341.1,18336.4,38.39999999999782,18340.9,18342.0,18310.3,18333.6,18326.15,31.700000000000728,18333.6,18338.2,18310.4,18311.9,18311.5,18489.6,18311.5,18488.9,25.8669999999983,38.768000000000974,Normal,Low,7.925000000000182,18334.075,18318.225000000002,Within,Below,Normal|Low|Within|Below,High,0,0,91.85000000000036
2024-05-16 00:00:00-04:00,18638.9,18654.8,18630.1,18648.9,18642.449999999997,24.700000000000728,18649.0,18649.8,18622.7,18635.7,18636.25,27.099999999998545,18635.9,18645.9,18623.2,18632.3,18632.1,18665.2,18588.3,18663.7,25.766999999998554,38.70000000000073,Compressed,Low,6.774999999999636,18643.025,18629.475,Within,Within,Compressed|Low|Within|Within,Low,1,1,11.400000000001455
2024-05-17 00:00:00-04:00,18569.8,18585.0,18563.0,18568.4,18574.0,22.0,18569.0,18592.7,18535.3,18552.8,18564.0,57.400000000001455,18553.2,18599.0,18552.6,18593.2,18593.0,18604.5,18539.0,18583.5,25.60099999999793,38.50200000000001,Compressed,Both,14.350000000000364,18578.35,18549.65,Within,Above,Compressed|Both|Within|Above,High,0,0,6.299999999999272
2024-05-20 00:00:00-04:00,18594.3,18604.9,18584.8,18596.0,18594.85,20.100000000002183,18596.3,18605.1,18581.3,18587.6,18593.199999999997,23.799999999999272,18587.4,18616.0,18580.0,18598.3,18598.1,18696.5,18561.8,18670.0,25.366999999999518,38.399999999998435,Compressed,Both,5.949999999999818,18599.149999999998,18587.249999999996,Within,Within,Compressed|Both|Within|Within,Low,1,1,8.299999999999272
2024-05-21 00:00:00-04:00,18681.0,18688.3,18670.3,18680.2,18679.3,18.0,18679.8,18692.1,18665.1,18670.3,18678.6,27.0,18670.6,18688.6,18658.1,18660.1,18659.5,18687.2,18607.0,18683.5,25.200999999999514,38.399999999998435,Compressed,Both,6.75,18685.35,18671.85,Below,Below,Compressed|Both|Below|Below,Low,0,0,15.149999999999636
2024-05-22 00:00:00-04:00,18744.5,18754.5,18737.5,18741.0,18746.0,17.0,18741.1,18751.7,18717.0,18723.8,18734.35,34.70000000000073,18723.7,18741.7,18686.2,18723.3,18723.2,18763.2,18718.3,18751.5,25.0,38.26799999999974,Compressed,Low,8.675000000000182,18743.024999999998,18725.675,Below,Below,Compressed|Low|Below|Below,High,0,0,4.299999999999272
2024-05-23 00:00:00-04:00,18808.1,18898.6,18795.3,18895.4,18846.949999999997,103.29999999999927,18895.4,18903.3,18861.9,18868.9,18882.6,41.39999999999782,18868.8,18939.1,18862.8,18937.1,18933.2,18955.0,18734.8,18740.6,25.0,38.26799999999974,Expanded,High,10.349999999999454,18892.949999999997,18872.25,Below,Above,Expanded|High|Below|Above,High,1,1,45.5
2024-05-24 00:00:00-04:00,18635.6,18667.1,18629.8,18647.0,18648.449999999997,37.29999999999927,18647.1,18681.1,18618.8,18671.9,18649.949999999997,62.29999999999927,18672.3,18697.5,18659.5,18668.8,18660.8,18802.3,18660.8,18797.6,25.0,38.13400000000049,Normal,Both,15.574999999999818,18665.524999999998,18634.374999999996,Above,Within,Normal|Both|Above|Within,High,0,0,14.550000000001091
2024-05-27 00:00:00-04:00,18781.0,18800.6,18778.0,18794.5,18789.3,22.599999999998545,18794.8,18833.1,18792.3,18819.3,18812.699999999997,40.79999999999927,18819.7,18828.7,18811.1,18823.0,18822.8,18858.0,18812.3,18854.5,25.0,38.09999999999916,Compressed,High,10.199999999999818,18822.899999999998,18802.499999999996,Within,Within,Compressed|High|Within|Within,High,0,0,14.200000000000728
2024-05-28 00:00:00-04:00,18854.6,18875.9,18832.3,18874.3,18854.1,43.60000000000218,18874.1,18926.0,18856.0,18924.3,18891.0,70.0,18924.3,18927.4,18856.5,18869.3,18869.1,18883.2,18785.8,18871.0,25.0,38.09999999999916,Expanded,High,17.5,18908.5,18873.5,Above,Below,Expanded|High|Above|Below,Low,0,0,5.5
2024-05-29 00:00:00-04:00,18879.3,18883.8,18824.2,18836.2,18854.0,59.599999999998545,18836.5,18850.1,18751.7,18772.5,18800.9,98.39999999999782,18772.8,18784.8,18745.0,18762.8,18762.5,18828.5,18705.1,18816.7,25.0,38.09999999999916,Expanded,Low,24.599999999999454,18825.5,18776.300000000003,Below,Below,Expanded|Low|Below|Below,Low,0,0,21.600000000000364
2024-05-30 00:00:00-04:00,18673.8,18682.1,18627.9,18637.0,18655.0,54.19999999999709,18637.1,18688.6,18609.1,18685.8,18648.85,79.5,18685.8,18712.4,18665.7,18690.9,18691.0,18738.1,18597.5,18610.3,25.0,38.09999999999916,Expanded,Both,19.875,18668.725,18628.975,Above,Above,Expanded|Both|Above|Above,High,1,1,41.20000000000073
2024-05-31 00:00:00-04:00,18511.4,18521.0,18455.6,18514.9,18488.3,65.40000000000146,18514.9,18525.5,18466.6,18497.0,18496.05,58.900000000001455,18496.6,18533.8,18437.8,18516.0,18515.7,18620.7,18308.3,18338.5,25.0,38.09999999999916,Expanded,High,14.725000000000364,18510.775,18481.324999999997,Within,Above,Expanded|High|Within|Above,High,1,1,82.10000000000036
